comment_text,identity_attack_x,bias,target,category,rationale
We are still having their water put at risk in the Dakotas for some white mans profit. When white people complained about the same issue the natives were just not important enough to care about their water supply. Some of you white folks refuse to acknowledge how much you benefit from the rape robbery torture and murder done in your benefit. Many of you are quite proud in your self righteous ignorance. Or maybe you just dont think those lives matter. Or they both may be true.,0.6,bias,"whites,men","race,gender",prejudice against white men
This whole tragedy is the face and body and physical manifestation of fundamental Islam.  Striving to conquer subdue and to bring under control.  Do not blame the world.  Blame fundamental Islam for this tragedy.,0.5,bias,muslims,religion,prejudice against muslims
Black on black killings.  Stop this madness man stop it now.  All of you criminalminded shooters.,0.706666667,bias,blacks,race,prejudice against blacks
The world would be at peace with out islam.,0.833333333,bias,muslims,religion,prejudice against islam
Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,bias,muslims,religion,prejudice against muslims
My wife is a white native Oregonian. Is that good enough for you? BTW when do I get to ask for proof of the good will of white folks. You seem to get that privilege with birth.,0.5,bias,whites,race,prejudice against whites
What a stupid comment.  Im sure there are STILL troops who would ban African Americans from serving.  Should we listen to them?  Dumb MAGAphant.,0.257575758,neutral,,none,
Unfortunately too many people see giving someone on the bottom rung of the ladder a leg up as somehow discriminating against someone higher on the ladder.  The sad thing is that many of those same people who see it as discrimination also are self identified Christians.  I wonder how they reconcile those 2 things.,0.5,bias,christians,religion,prejudice against christians
AntiMuslim protesters shout hateful rhetoric.  Muslim fundamentalist nutjobs murder innocent people.  Not quite the same thing is it?,0.8,bias,muslims,religion,prejudice against muslims
Like I said I cant stand the guy and dont watch his show.  Most of the local braddahs that tease me for being white come off misogynist also.  Watcha gonna do...?,0.6,bias,"whites,men","race,gender",prejudice against white men
Who wants to bet they arrest a black guy for this?,0.6625,bias,blacks,race,prejudice towards blacks
How is it racist? Racist isnt even a very good word. I like race realist. Races are different its a fact. Nothing to do with hate or superiority. A minority population of about 7 commits most of the murders in Anchorage thats a fact and it happens to be the black race.,0.6,bias,blacks,race,prejudice against blacks
Exactly right. Illegal immigrants which most of these foreigners are are a total burden on the South African society most of all the poor black people.,0.642857143,bias,blacks,race,prejudice against blacks
Are you talking about that white guy who ran over people and killed a woman with his car? The one that the Chump doesnt know is a terrorist? Why dont you do him a favor and send him your dictionary.,0.289473684,neutral,,none,
Jerry Brown the gay Governor should have called out the National Guard all Police Officers then brought out the water cannons flaten every one to the ground washed clear to the ocean any left shoot every one of these brain dead pukes This is America not Iraq. This is wrong.,0.55,bias,gays,lgbtq,prejudice towards gays
PROGRESSIVES are a CLEAR and PRESENT DANGER to WHITES KILL a PROGRESSIVE and TWO NIGERS and 5 MUSLUMS to PROTECT HUMAN LIFE,0.714285714,bias,"blacks,muslims","race,religion",prejudice against blacks and musims and towards whites
Only white men are allowed to be racist and sexist.,0.819444444,bias,"whites,men","race,gender",prejudice against white men
I learned that those who are both religious and righteous are some of the most dangerous people on this earth.    Yes radical Islam is very dangerous.  NeverHillary,0.7,bias,muslims,religion,prejudice against muslims
Not surprised.  Most Russians are criminals and their women are skanks and users...,0.911075612,bias,russians,race,prejudice against russians
Butinski here is another theory.  The person at the helm was a transgender who was distracted while putting on his make up.,0.7,bias,transgenders,lgbtq,prejudice against transgenders
Wow how times have changed All hail the muslim. It wasnt so very long ago that Christians were told to remove all crosses from government properties in Hawaii and even some privately owned churches were heartily challenged. Now we have foreign born muslims on the front page and their right to be is heavily protected. Go figure.,0.8,bias,muslims,religion,prejudice against muslims
Its time for the GOP to live on earth instead of some conservative other world they live on where everyone is white and up tight and a hypocrite in the end anyway.,1,bias,whites,race,prejudice against whites
Why would you think that???  Black racists were empowered by Obamas election.,0.575,bias,blacks,race,prejudice against blacks
They still throw gays off buildings and stone women.,0.636363636,neutral,,none,
So you think its okay to have black slaves and relegate them to the back of the bus and separate facilities and that its okay for cops to profile and kill innocent blacks.,0.6125,bias,blacks,race,
Muh master race Muh genetic superiority Man these white supremacists are such fragile snowflakes.,0.581081081,bias,whites,race,prejudice against whites
Even hate speech is protected do you not know?  White nationalists are rarely satisfied with verbalizing their hatred training every day for putting it into action.,0.6,bias,whites,race,prejudice against whites
